name,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
GLOUCESTER CIRCUS GARDEN COMMITTEE,"12,733.43", 03/04/2018,Chief Executives,Gloucester Circus Levy
REDACTED PERSONAL INFORMATION,"2,867.52", 05/04/2018,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"12,488.57", 05/04/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"3,764.33", 05/04/2018,Childrens Services,Agency Placements
OASIS CARE & TRAINING AGENCY,"1,373.16", 05/04/2018,Health and Adult Services,Private Home Help Domest Misc
FIRST CHOICE SOCIAL CARE & SHELTERED HOUSING LTD,855.33, 05/04/2018,Health and Adult Services,ISF Personal Care
REDACTED PERSONAL INFORMATION,"2,342.86", 05/04/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"8,050.00", 05/04/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"10,316.46", 05/04/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"10,316.46", 05/04/2018,Childrens Services,Agency Placements
CRAEGMOOR OAKS SIDCUP PRIORY,"1,536.00", 05/04/2018,Health and Adult Services,Client Support
REDACTED PERSONAL INFORMATION,"2,788.00", 05/04/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"2,052.00", 05/04/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"1,258.75", 05/04/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,554.40, 05/04/2018,Childrens Services,Services Voluntary Org
STAR CARE UK LTD,798.49, 05/04/2018,Health and Adult Services,ISF Personal Care
ORDINARY LIVING LTD,"3,264.00", 05/04/2018,Health and Adult Services,Supported Living
CHRYSALIS CARE (FOSTERING) LTD,"1,073.61", 05/04/2018,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"3,840.14", 05/04/2018,Childrens Services,Agency Placements
LONDON CARE LTD,929.26, 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,900.44, 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,641.64, 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"6,452.60", 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"1,121.00", 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"1,121.00", 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"1,253.75", 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"1,371.75", 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,818.12, 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"1,401.25", 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"2,286.25", 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,590.00, 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,560.50, 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,560.50, 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,590.00, 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,560.50, 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,501.50, 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,590.00, 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,590.00, 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,590.00, 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,590.00, 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,560.50, 05/04/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,590.00, 05/04/2018,Health and Adult Services,Greenwich Home Support
ARGENT FM LIMITED,"11,421.78", 05/04/2018,Regeneration Enterprise Skills,Expenditure Payments
ARGENT FM LIMITED,"24,065.69", 05/04/2018,Regeneration Enterprise Skills,Expenditure Payments
REDACTED PERSONAL INFORMATION,"1,579.52", 05/04/2018,Health and Adult Services,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,690.28, 05/04/2018,Health and Adult Services,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,"1,403.36", 05/04/2018,Health and Adult Services,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,532.80, 05/04/2018,Health and Adult Services,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,506.04, 05/04/2018,Health and Adult Services,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,910.36, 05/04/2018,Health and Adult Services,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,900.92, 05/04/2018,Health and Adult Services,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,"5,829.00", 05/04/2018,Health and Adult Services,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,920.20, 05/04/2018,Health and Adult Services,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,948.64, 05/04/2018,Health and Adult Services,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,842.68, 05/04/2018,Health and Adult Services,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,"1,720.00", 05/04/2018,Health and Adult Services,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,530.40, 05/04/2018,Health and Adult Services,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,"1,391.84", 05/04/2018,Health and Adult Services,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,524.00, 05/04/2018,Health and Adult Services,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,"1,243.20", 05/04/2018,Health and Adult Services,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,538.20, 05/04/2018,Health and Adult Services,Community Care Direct Payments
REDACTED PERSONAL INFORMATION,644.00, 05/04/2018,Health and Adult Services,Community Care Direct Payments
