name,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
NEOPOST LTD,845.99, 03/10/2016,Comm Safety and Environment,Stationery
WOLSELEY UK LTD (VARIOUS SUPPLIES),784.26, 03/10/2016,Housing Services,Materials
WOLSELEY UK LTD (VARIOUS SUPPLIES),273859.24, 03/10/2016,Systems Control Accounts,Expenditure Payments
GOVNET COMMUNICATIONS,1422, 03/10/2016,Comm Safety and Environment,Training Expenses
CITY HEIGHTS(LONDON)LTD P WALKER A-F,26926.25, 03/10/2016,Housing Services,Services Private Contractor
E & E BUILDING SERVICES LTD,27407.84, 03/10/2016,Housing Services,Services Private Contractor
MASHER BROTHERS LTD,10021.2, 03/10/2016,Housing Services,Services Private Contractor
P & R INSTALLATION CO LTD,117403.19, 03/10/2016,Housing Services,Services Private Contractor
BNP PARIBAS LEASE GROUP,7748.21, 03/10/2016,Chief Executives,Expenditure Payments
ARMOUR CONTRACTS LTD T/A ARMOUR GROUP,31836.05, 03/10/2016,Housing Services,Services Private Contractor
CALM TRAINING LTD,2172, 03/10/2016,Chief Executives,Children`s Social Care
COOPER CARLSSON EDUCATION LTD,800, 03/10/2016,Childrens Services,Agency Staff
ECO CONSULTING (UK) LTD,1320, 03/10/2016,Other General Fund,Ext Site Surveys
ERITH CONTRACTORS LTD,71628.48, 03/10/2016,Regeneration Enterprise and Sk,Security External Contract
FAMILY MOSAIC HOUSING,3198.74, 03/10/2016,Health and Adult Services,In Touch Support
GREENWICH ACTION FOR VOLUNTARY SERVICES (GAVS),3216, 03/10/2016,Childrens Services,Other Agency Services
GREENWICH ACTION FOR VOLUNTARY SERVICES (GAVS),8750, 03/10/2016,Childrens Services,Other Agency Services
LOGICALIS UK LIMITED,9099.6, 03/10/2016,Modernisation,IT Cabling
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,614.4, 03/10/2016,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,614.4, 03/10/2016,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,1035, 03/10/2016,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,1035, 03/10/2016,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,1035, 03/10/2016,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,1035, 03/10/2016,Regeneration Enterprise and Sk,Stationery
MCCH,311700.76, 03/10/2016,Health and Adult Services,Services Private Contractor
ORBIS PROTECT LIMITED,3460.2, 03/10/2016,Comm Safety and Environment,Security External Contract
PELLINGS LLP,1890, 03/10/2016,Modernisation,Int Architects Fees
OUTLOOK CARE,16452.79, 03/10/2016,Health and Adult Services,Block Contracts
WOLSELEY UK LTD (VARIOUS SUPPLIES),1098.01, 03/10/2016,Housing Services,Materials
THAMES ELECTRICAL SUPPLIES,1031.21, 03/10/2016,Housing Services,Materials
THAMES ELECTRICAL SUPPLIES,1548, 03/10/2016,Housing Services,Materials
THAMES ELECTRICAL SUPPLIES,652.45, 03/10/2016,Housing Services,Materials
VOICEABILITY ADVOCACY,652, 03/10/2016,Chief Executives,MIsc
PUSH TO TALK SYSTEMS LTD,1092, 03/10/2016,Comm Safety and Environment,Equipment
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,460.8, 03/10/2016,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,460.8, 03/10/2016,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,460.8, 03/10/2016,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,460.8, 03/10/2016,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,460.8, 03/10/2016,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,460.8, 03/10/2016,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,1920, 03/10/2016,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,1920, 03/10/2016,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,1254, 03/10/2016,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,1254, 03/10/2016,Regeneration Enterprise and Sk,Stationery
BESTNOTE-MUSIC LIMITED,1800, 03/10/2016,Childrens Services,Conference Expenses
REDACTED PERSONAL INFORMATION,950, 03/10/2016,Childrens Services,Services Other Local Author
WING PARKING LTD,18186.72, 03/10/2016,Housing Services HRA,Parking Improvements
WING PARKING LTD,-15155.6, 03/10/2016,Housing Services HRA,Ext Inc Other Recover Charges
REDACTED PERSONAL INFORMATION,2043.6, 03/10/2016,Childrens Services,Services Other Local Author
WING PARKING LTD,19824.6, 03/10/2016,Housing Services HRA,Parking Improvements
WING PARKING LTD,-16520.5, 03/10/2016,Housing Services HRA,Ext Inc Other Recover Charges
REDACTED PERSONAL INFORMATION,950, 03/10/2016,Childrens Services,Services Other Local Author
WING PARKING LTD,17432.9, 03/10/2016,Housing Services HRA,Parking Improvements
WING PARKING LTD,-14527.42, 03/10/2016,Housing Services HRA,Ext Inc Other Recover Charges
REDACTED PERSONAL INFORMATION,14333, 03/10/2016,Childrens Services,Inter Agency Placements
OXLEAS NHS FOUNDATION TRUST,1950, 03/10/2016,Health and Adult Services,Officers Normal Time
OXLEAS NHS FOUNDATION TRUST,1950, 03/10/2016,Health and Adult Services,Officers Normal Time
LB GREENWICH-MAYOR`S ADMINISTRATION ACCOUNT,210, 03/10/2016,Chief Executives,Legal Fees External Contract
LB GREENWICH-MAYOR`S ADMINISTRATION ACCOUNT,62.96, 03/10/2016,Chief Executives,Telephones
LB GREENWICH-MAYOR`S ADMINISTRATION ACCOUNT,1203.92, 03/10/2016,Chief Executives,Catering
LB GREENWICH-MAYOR`S ADMINISTRATION ACCOUNT,1589, 03/10/2016,Chief Executives,Overtime Admin Buildings
LB GREENWICH-MAYOR`S ADMINISTRATION ACCOUNT,62.4, 03/10/2016,Chief Executives,Other Services
LB GREENWICH-MAYOR`S ADMINISTRATION ACCOUNT,52.14, 03/10/2016,Chief Executives,Mobile Phones
LB GREENWICH-MAYOR`S ADMINISTRATION ACCOUNT,489.52, 03/10/2016,Chief Executives,Other Services
LB GREENWICH-MAYOR`S ADMINISTRATION ACCOUNT,140.5, 03/10/2016,Chief Executives,Printing
LB GREENWICH-MAYOR`S ADMINISTRATION ACCOUNT,192, 03/10/2016,Chief Executives,Stationery
LB GREENWICH-MAYOR`S ADMINISTRATION ACCOUNT,400.02, 03/10/2016,Chief Executives,Charity Promotion
LB GREENWICH-MAYOR`S ADMINISTRATION ACCOUNT,21, 03/10/2016,Chief Executives,Travel Expenses
OXLEAS NHS FOUNDATION TRUST,2800, 03/10/2016,Health and Adult Services,Officers Normal Time
OXLEAS NHS FOUNDATION TRUST,2800, 03/10/2016,Health and Adult Services,Officers Normal Time
OXLEAS NHS FOUNDATION TRUST,4053, 03/10/2016,Health and Adult Services,Officers Normal Time
ROYAL MAIL GROUP LTD,2030.52, 03/10/2016,Chief Executives,Postage - Royal Mail
REDACTED PERSONAL INFORMATION,1910, 03/10/2016,Childrens Services,LC Staying Put
THAMES WATER UTILITIES,1619.49, 03/10/2016,Comm Safety and Environment,Water
ROYAL MAIL GROUP LTD,4483.58, 03/10/2016,Chief Executives,Postage - Royal Mail
ANGELS ABODE LIMITED,1050, 03/10/2016,Health and Adult Services,Rents Other
THE OLIVE SERVICES LTD,4028.57, 03/10/2016,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,3750, 03/10/2016,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,3790.37, 03/10/2016,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,3707.14, 03/10/2016,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,3857.14, 03/10/2016,Health and Adult Services,Services Private Contractor
THE OLIVE SERVICES LTD,3707.14, 03/10/2016,Health and Adult Services,Services Private Contractor
