name,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,899.98, 02/01/2018,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,899.98, 02/01/2018,Regeneration Enterprise and Sk,Stationery
M G AXTON,"15,264.00", 02/01/2018,Capital Housing Revenue Acc,Refurbishment
GATENBY SANDERSON LTD,"3,538.46", 02/01/2018,Housing Services HRA,MIsc
SDK ENVIRONMENTAL LTD,"1,262.10", 02/01/2018,Comm Safety and Environment,Services Private Contractor
WATTS GROUP LIMITED,774.00, 02/01/2018,Modernisation,Int Feasibility
HILL-ROM LTD,"7,281.25", 02/01/2018,Health and Adult Services,Other Services
SHANNON MCNAB T/AS SIMPLY SMILEY PRODUCTIONS,"1,920.00", 02/01/2018,Chief Executives,Woolwich Winter Warmer
SHANNON MCNAB T/AS SIMPLY SMILEY PRODUCTIONS,"1,110.00", 02/01/2018,Chief Executives,Eltham Lights Up
SHANNON MCNAB T/AS SIMPLY SMILEY PRODUCTIONS,"3,000.00", 02/01/2018,Chief Executives,Programming
DARIO BESSA DE MELO,600.00, 02/01/2018,Chief Executives,Family Support
THOMSON REUTERS(PROFESSIONAL) UK LIMITED,"1,074.00", 02/01/2018,Chief Executives,Books & Publications
RIVERSIDE ENVIRONMENTAL SERVICES LTD,780.00, 02/01/2018,Comm Safety and Environment,Asbestos Analysis
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,899.98, 02/01/2018,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,899.98, 02/01/2018,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,672.00, 02/01/2018,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,672.00, 02/01/2018,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,717.00, 02/01/2018,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,717.00, 02/01/2018,Regeneration Enterprise and Sk,Stationery
LIBERTY PRINTERS (AR & RF REDDIN) LIMITED,899.98, 02/01/2018,Regeneration Enterprise and Sk,Stationery
