name,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
CITY OF LONDON CORPORATION,793.2, 04/01/2016,Comm Safety and Environment,Hazardous Waste
SOUTH LONDON & MAUDSLEY NHS FOUNDATION TRUST,303719.25, 04/01/2016,Adult and Older People,SLaM Beresford
SOUTH LONDON & MAUDSLEY NHS FOUNDATION TRUST,303719.25, 04/01/2016,Adult and Older People,SLaM Beresford
THAMES WATER UTILITIES,1219.68, 04/01/2016,Housing Services HRA,Water
THOMSON REUTERS(PROFESSIONAL) UK LIMITED,925, 04/01/2016,Chief Executives,Books & Publications
ADONIKO LTD,518.4, 04/01/2016,Chief Executives,Services Private Contractor
ADONIKO LTD,648, 04/01/2016,Chief Executives,Services Private Contractor
REAL REINDEER LIMITED,1500, 04/01/2016,Chief Executives,Woolwich Winter Warmer
QUAD MEDICAL LIMITED,684, 04/01/2016,Chief Executives,Woolwich Winter Warmer
ICE CREATIONS LIMITED,3000, 04/01/2016,Chief Executives,Programming
ICE CREATIONS LIMITED,1500, 04/01/2016,Chief Executives,Woolwich Winter Warmer
ALFRED BAGNALL & SONS ( RESTORATION ) LTD,78417.5, 04/01/2016,Capital Housing Revenue Acc,Refurbishment
ALFRED BAGNALL & SONS ( RESTORATION ) LTD,43347.66, 04/01/2016,Capital Housing Revenue Acc,Refurbishment
HERTEL SOLUTIONS LTD,71169.04, 04/01/2016,Housing Services HRA,Water Inspections
BRITISH GAS BUSINESS,611.43, 04/01/2016,Adult and Older People,Gas
MITIE TECHNICAL FACILITIES MANAGEMENT,29022.13, 04/01/2016,Housing Services HRA,Communal Plant Maintenance
MEARS LTD,403543.09, 04/01/2016,Capital Housing Revenue Acc,Refurbishment
OPENVIEW SECURITY SOLUTIONS LTD,63775.03, 04/01/2016,Housing Services HRA,Door Entry Phone
ARCHITECTURAL DECORATORS LTD,72937.14, 04/01/2016,Capital Housing Revenue Acc,Refurbishment
BIRD ADVISORY SERVICES LTD,894, 04/01/2016,Childrens Services,Supply/Sessional Normal TIme
GEOFFREY OSBORNE LTD,310152.34, 04/01/2016,Capital Housing Revenue Acc,Newbuild
GREENWICH WINTER NIGHT SHELTER,10000, 04/01/2016,Housing Services HRA,MIsc
THE RIVERSIDE GROUP LTD,1502.75, 04/01/2016,Adult and Older People,Services by External Providers
FOOL`S PARADISE LIMITED,2502, 04/01/2016,Chief Executives,Woolwich Winter Warmer
TRINITY MIRROR PRINTING WATFORD LIMITED,3567.51, 04/01/2016,Chief Executives,Printing External Contract
TRINITY MIRROR PRINTING WATFORD LIMITED,378.95, 04/01/2016,Chief Executives,Printing External Contract
EMERGENCY HOUSING LIMITED,1002.5, 04/01/2016,Housing Services,Rents Other
SOUTH STREET MEDICAL CENTRE,2055, 04/01/2016,Adult and Older People,Medical Services
SOUTH STREET MEDICAL CENTRE,1885, 04/01/2016,Adult and Older People,Medical Services
SIGNS PLUS LIMITED,780, 04/01/2016,Chief Executives,Other Services
ADONIKO LTD,648, 04/01/2016,Chief Executives,Services Private Contractor
SIGNS PLUS LIMITED,1141.2, 04/01/2016,Chief Executives,Other Services
ORDINARY LIVING LTD,3264, 04/01/2016,Adult and Older People,Supported Living
REDACTED PERSONAL INFORMATION,1876.04, 04/01/2016,Adult and Older People,Private Sector Nursing Homes
NESTOR PRIMECARE SERVICES LTD T/A ALLIED HEALTHCAR,785.68, 04/01/2016,Adult and Older People,ISF Personal Care
REDACTED PERSONAL INFORMATION,3884.3, 04/01/2016,Childrens Services,Agency Placements
ORDINARY LIVING LTD,3264, 04/01/2016,Adult and Older People,Supported Living
AVANTE CARE AND SUPPORT LTD,2281.73, 04/01/2016,Adult and Older People,Services Private Contractor
MY LIFE SEMI-INDEPENDENT PROJECT LTD,1692.85, 04/01/2016,Childrens Services,Agency Placements
KEYS 16 PLUS INDEPENDENT LIVING SERVICES LTD,813.19, 04/01/2016,Childrens Services,Complex Support
KEYS 16 PLUS INDEPENDENT LIVING SERVICES LTD,813.19, 04/01/2016,Childrens Services,Complex Support
KEYS 16 PLUS INDEPENDENT LIVING SERVICES LTD,760.73, 04/01/2016,Childrens Services,Complex Support
KEYS 16 PLUS INDEPENDENT LIVING SERVICES LTD,813.19, 04/01/2016,Childrens Services,Complex Support
KEYS 16 PLUS INDEPENDENT LIVING SERVICES LTD,786.96, 04/01/2016,Childrens Services,Complex Support
KEYS 16 PLUS INDEPENDENT LIVING SERVICES LTD,813.19, 04/01/2016,Childrens Services,Complex Support
KEYS 16 PLUS INDEPENDENT LIVING SERVICES LTD,786.96, 04/01/2016,Childrens Services,Complex Support
KEYS 16 PLUS INDEPENDENT LIVING SERVICES LTD,813.19, 04/01/2016,Childrens Services,Complex Support
REDACTED PERSONAL INFORMATION,1080, 04/01/2016,Systems Control Accounts,Advances
NORTHGATE PUBLIC SERVICES (UK) LTD,96931.61, 04/01/2016,Chief Executives,Desktop Support Northgate
NORTHGATE PUBLIC SERVICES (UK) LTD,21600, 04/01/2016,Chief Executives,Desktop Support Northgate
NORTHGATE PUBLIC SERVICES (UK) LTD,21600, 04/01/2016,Chief Executives,Desktop Support Northgate
NORTHGATE PUBLIC SERVICES (UK) LTD,21600, 04/01/2016,Chief Executives,Desktop Support Northgate
SELCHP,589999.76, 04/01/2016,Comm Safety and Environment,Services Private Contractor
GREATER LONDON AUTHORITY,2056218.74, 04/01/2016,Collection Fund,Outturn Pool Contribution
GREATER LONDON AUTHORITY,51861.46, 04/01/2016,Collection Fund,Gf Contrib To Discretion
LONDON PENSION FUND AUTHORITY,26453.9, 04/01/2016,Chief Executives,Services Joint Authorities
LONDON PENSION FUND AUTHORITY,87217.6, 04/01/2016,Childrens Services,Services Gov Appointed Bodies
REDACTED PERSONAL INFORMATION,1305.68, 05/01/2016,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 05/01/2016,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 05/01/2016,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 05/01/2016,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 05/01/2016,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 05/01/2016,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 05/01/2016,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1380.68, 05/01/2016,Adult and Older People,Adult Placement Schemes
