name,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
LONDON PENSION FUND AUTHORITY,"27,262.10", 03/01/2017,Chief Executives,Services Joint Authorities
LONDON PENSION FUND AUTHORITY,"89,517.10", 03/01/2017,Childrens Services,Services Gov Appointed Bodies
ARK HOME HEALTHCARE LIMITED,"2,577.24", 03/01/2017,Health and Adult Services,Agency Staff
GREATER LONDON AUTHORITY,"2,051,721.62", 03/01/2017,Collection Fund,Outturn Pool Contribution
GREATER LONDON AUTHORITY,"303,200.01", 03/01/2017,Collection Fund,Gf Contrib To Discretion
HAMPTON`S RESOURCING LTD,"2,940.30", 03/01/2017,Childrens Services,Agency Staff
REDACTED PERSONAL INFORMATION,"7,142.37", 03/01/2017,NS General Fund,Refurbishment
REDACTED PERSONAL INFORMATION,-12.00, 03/01/2017,Housing Services,Stationery
FIELDWHITE SERVICES,"9,075.58", 03/01/2017,NS General Fund,General Payments
FIELDWHITE SERVICES,"1,284.15", 03/01/2017,NS General Fund,General Payments
FIELDWHITE SERVICES,"-1,580.30", 03/01/2017,Housing Services,Ext Inc Other Recover Charges
FIELDWHITE SERVICES,-3.00, 03/01/2017,Housing Services,Stationery
RSM BUILDING CONTRACTORS,"9,301.71", 03/01/2017,NS General Fund,General Payments
RSM BUILDING CONTRACTORS,"-1,418.90", 03/01/2017,Housing Services,Ext Inc Other Recover Charges
RSM BUILDING CONTRACTORS,-3.00, 03/01/2017,Housing Services,Stationery
LONDON & QUADRANT HOUSING TRUST,"3,406.36", 03/01/2017,Housing Services HRA,Rents Other
LAWSON VILLAS LTD,"1,120.00", 03/01/2017,Housing Services,Rents Other
NOWMEDICAL,"1,044.00", 03/01/2017,Housing Services HRA,Professional Fees
ASSET PROPERTY,"1,881.00", 03/01/2017,Housing Services,Rents Other
ANGELS ABODE LIMITED,"17,322.50", 03/01/2017,Housing Services,Rents Other
HYTYME LTD,"10,141.20", 03/01/2017,Housing Services,Rents Other
GREENWICH SERVICE PLUS LIMITED,"626,522.60", 03/01/2017,Corporate,External Payments
GREENWICH SERVICE PLUS LIMITED,963.41, 03/01/2017,Comm Safety and Environment,Vehicle Repair In House Trad
GREENWICH SERVICE PLUS LIMITED,"9,639.79", 03/01/2017,Comm Safety and Environment,Vehicle Repair In House Trad
REDACTED PERSONAL INFORMATION,"2,800.00", 03/01/2017,Childrens Services,Services by External Providers
REDACTED PERSONAL INFORMATION,"2,340.00", 03/01/2017,Childrens Services,Services by External Providers
REDACTED PERSONAL INFORMATION,"2,340.00", 03/01/2017,Childrens Services,Services by External Providers
REDACTED PERSONAL INFORMATION,"2,340.00", 03/01/2017,Childrens Services,Services by External Providers
REDACTED PERSONAL INFORMATION,"2,470.00", 03/01/2017,Childrens Services,Services by External Providers
REDACTED PERSONAL INFORMATION,"2,470.00", 03/01/2017,Childrens Services,Services by External Providers
