name,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
1ST ACE SECURITY LTD,10620, 01/10/2014,Other General Fund,Newbuild
1ST ACE SECURITY LTD,720, 23/10/2014,Childrens Services,Building Security In House
24 HR CENTRAL CAR HIRE LTD,684.14, 24/11/2014,Adult and Older People,Vehicle Hire
24 HR CENTRAL CAR HIRE LTD,747.06, 24/11/2014,Adult and Older People,Vehicle Hire
24 HR CENTRAL CAR HIRE LTD,645.22, 24/11/2014,Adult and Older People,Vehicle Hire
24 HR CENTRAL CAR HIRE LTD,715.53, 24/11/2014,Adult and Older People,Vehicle Hire
39 ESSEX STREET LLP PFA,6330, 20/10/2014,Childrens Services,Prof Serv Con Adv Non Curric
39 ESSEX STREET LLP PFA,6330, 20/10/2014,Chief Executives,Legal Fees
4 TRAINING & CONSULTANCY LTD,4440, 21/11/2014,Childrens Services,Professional Fees
4IMPRINT DIRECT LIMITED,2964, 29/10/2014,Adult and Older People,Publicitiy
9823 SERVICES LTD,595, 14/10/2014,Childrens Services,Other Services
9823 SERVICES LTD,571.25, 29/12/2014,Childrens Services,Other Services
A & H PEST CONTROL SERVICES,1740, 16/12/2014,Housing Services HRA,Environmental
A & H PEST CONTROL SERVICES,708, 22/12/2014,Housing Services HRA,Direct Orders
A & H PEST CONTROL SERVICES,1404, 23/12/2014,Housing Services HRA,Direct Orders
A F BROWNE LTD,688.45, 06/11/2014,Adult and Older People,Services by External Providers
A LAWAL,1600, 02/10/2014,Housing Services,Rent Bond/ Arrears
A LAWAL,1600, 02/10/2014,Housing Services,Repairs Bonds
AAVA LIMITED,3000, 01/10/2014,Regeneration Enterprise and Sk,Specialist Prof Services
ABACUS CARE GREENWICH,4350, 10/10/2014,Adult and Older People,Agency Staff
ABACUS CARE GREENWICH,801, 30/10/2014,Adult and Older People,Agency Staff
ABACUS CARE GREENWICH,4259.38, 10/11/2014,Adult and Older People,Agency Staff
ABACUS CARE GREENWICH,4103.5, 10/11/2014,Adult and Older People,Agency Staff
ABACUS CARE GREENWICH,3153.75, 24/11/2014,Adult and Older People,Agency Staff
ABACUS CARE GREENWICH,658.96, 24/11/2014,Adult and Older People,Agency Staff
ABACUS CARE GREENWICH,3733.75, 23/12/2014,Adult and Older People,Agency Staff
ABACUS CARE GREENWICH,4850.25, 24/12/2014,Adult and Older People,Agency Staff
ABACUS CARE GREENWICH,527.06, 29/12/2014,Adult and Older People,Agency Staff
ABBEY COACHES T/A ABBEY TRAVEL,3927, 21/11/2014,Childrens Services,Conference Expenses
ABBEY WOOD COMMUNITY GROUP,11250, 10/10/2014,Chief Executives,Grants To Voluntary Organ
ABBEY WOOD SURGERY,845, 30/10/2014,Adult and Older People,Services by External Providers
ABE ABDALLA,856, 14/11/2014,Childrens Services,Technician Research Assistants
ABE ABDALLA,856, 14/11/2014,Childrens Services,Technician Research Assistants
ABE ABDALLA,1250.06, 31/12/2014,Childrens Services,Technician Research Assistants
ABE ABDALLA,989, 31/12/2014,Childrens Services,Technician Research Assistants
ABEL ALARM COMPANY LTD,683.06, 23/12/2014,Housing Services HRA,Security External Contract
ABEL ALARM COMPANY LTD,683.06, 23/12/2014,Housing Services HRA,Security External Contract
ABEL ALARM COMPANY LTD,673.54, 23/12/2014,Housing Services HRA,Security External Contract
ABEL ALARM COMPANY LTD,673.54, 23/12/2014,Housing Services HRA,Security External Contract
ABIMBOLA OLASIMBO,2145, 01/10/2014,Housing Services,Deposits
ABIMBOLA OLASIMBO,2145, 24/12/2014,Housing Services,Deposits
ABISOLA BANJOKO,1500, 26/11/2014,Housing Services,Landlord Incentive Payments
ABN-AMRO COMMERCIAL FINANCE,2316.6, 04/12/2014,Childrens Services,Computer Supplies & Stationery
ABSOLUTE HYGIENE SOLUTIONS LTD,9885.6, 29/12/2014,Regeneration Enterprise and Sk,Cleaning Materials
ACAS,3006, 24/11/2014,Adult and Older People,MIsc
ACCLAIM CONTRACTS LIMITED,6388.04, 11/11/2014,Housing Services,Services Private Contractor
ACT FOR CHANGE,606.66, 15/10/2014,Childrens Services,Other Services
ACT FOR CHANGE,10880, 17/10/2014,Childrens Services,Specialist Prof Services
ACT FOR CHANGE,2692.5, 23/12/2014,Childrens Services,Interventions Activities
ACTION DRY EMERGENCY SERVICES LTD,2335.78, 17/10/2014,Housing Services HRA,Direct Orders
ACTION DRY EMERGENCY SERVICES LTD,1479.53, 19/11/2014,Housing Services HRA,Direct Orders
ACTION DRY EMERGENCY SERVICES LTD,3237.62, 21/11/2014,Housing Services HRA,Direct Orders
ACTION FOR CHILDREN,3102, 13/10/2014,Childrens Services,Vehicle Hire External Hired
ACTION FOR CHILDREN,15500, 13/10/2014,Childrens Services,Agency Placements
ACTION FOR CHILDREN,15500, 13/10/2014,Childrens Services,Agency Placements
ACTION FOR CHILDREN,3489.71, 05/11/2014,Childrens Services,Agency Placements
ACTION FOR CHILDREN,3515.6, 14/11/2014,Childrens Services,Vehicle Hire External Hired
ACTION FOR CHILDREN,2895.2, 19/11/2014,Childrens Services,Agency Placements
ACTION FOR CHILDREN,15000, 19/11/2014,Childrens Services,Agency Placements
ACTION FOR CHILDREN,15500, 03/12/2014,Childrens Services,Agency Placements
ACTION FOR CHILDREN,3722.4, 11/12/2014,Childrens Services,Vehicle Hire External Hired
ACTION FOR CHILDREN,3377.14, 24/12/2014,Childrens Services,Agency Placements
ACTION FOR CHILDREN,3489.71, 24/12/2014,Childrens Services,Agency Placements
ACTION FOR CHILDREN,3377.14, 29/12/2014,Childrens Services,Agency Placements
ACTION FOR CHILDREN,15000, 29/12/2014,Childrens Services,Agency Placements
ACTION ON ADDICTION,1618.4, 10/11/2014,Adult and Older People,Spot Purchase Rehab
ACTION ON HEARING LOSS,3501.24, 17/10/2014,Adult and Older People,Services Private Contractor
ACTION ON HEARING LOSS,3501.24, 17/10/2014,Adult and Older People,Services Vol Associations
ACTION ON HEARING LOSS,3501.24, 17/10/2014,Adult and Older People,Services Vol Associations
ACTION ON HEARING LOSS,3501.24, 17/10/2014,Adult and Older People,Services Private Contractor
ACTION ON HEARING LOSS,4505.52, 17/10/2014,Adult and Older People,Services Private Contractor
ACTION ON HEARING LOSS,5092.36, 17/10/2014,Adult and Older People,Services Vol Associations
ACTION ON HEARING LOSS,5092.36, 17/10/2014,Adult and Older People,Services Vol Associations
ACTION ON HEARING LOSS,4505.52, 26/11/2014,Adult and Older People,Services Private Contractor
ACTION ON HEARING LOSS,3501.24, 01/12/2014,Adult and Older People,Services Private Contractor
ACTION ON HEARING LOSS,3501.24, 01/12/2014,Adult and Older People,Services Vol Associations
ACTION ON HEARING LOSS,3501.24, 01/12/2014,Adult and Older People,Services Vol Associations
ACTION ON HEARING LOSS,3501.24, 01/12/2014,Adult and Older People,Services Private Contractor
ACTION ON HEARING LOSS,4505.52, 03/12/2014,Adult and Older People,Services Private Contractor
ACTION ON HEARING LOSS,5092.36, 03/12/2014,Adult and Older People,Services Vol Associations
ACTION ON HEARING LOSS,5092.36, 03/12/2014,Adult and Older People,Services Vol Associations
ACTION ON HEARING LOSS,4896, 03/12/2014,Adult and Older People,Services Private Contractor
ACTION ON HEARING LOSS,4896, 03/12/2014,Adult and Older People,Services Private Contractor
ACTION ON HEARING LOSS,5092.36, 03/12/2014,Adult and Older People,Services Vol Associations
ACTION ON HEARING LOSS,5092.36, 03/12/2014,Adult and Older People,Services Vol Associations
ACTION ON HEARING LOSS,4896, 15/12/2014,Adult and Older People,Services Private Contractor
ACTION ON HEARING LOSS,602, 23/12/2014,Adult and Older People,Translation Interpreting
ACTION SHUTTERS LTD,1674, 01/10/2014,Chief Executives,R & M Buildings Other
ACTION SHUTTERS LTD,10008, 04/12/2014,Regeneration Enterprise and Sk,Fixtures And Fittings
ACTION SHUTTERS LTD,720, 15/12/2014,Regeneration Enterprise and Sk,Professional Fees
ADAM GAINSBOROUGH,1500, 07/10/2014,Chief Executives,Other Services
ADAPTIS SOLUTIONS LIMITED,665.16, 21/10/2014,Regeneration Enterprise and Sk,Services Private Contractor
ADAPTIS SOLUTIONS LIMITED,711.8, 21/10/2014,Regeneration Enterprise and Sk,Services Private Contractor
ADAPTIS SOLUTIONS LIMITED,683.4, 21/10/2014,Regeneration Enterprise and Sk,Services Private Contractor
ADAPTIS SOLUTIONS LIMITED,824.9, 21/10/2014,Regeneration Enterprise and Sk,Services Private Contractor
ADAPTIS SOLUTIONS LIMITED,832.3, 21/10/2014,Regeneration Enterprise and Sk,Services Private Contractor
ADAPTIS SOLUTIONS LIMITED,765.7, 21/10/2014,Regeneration Enterprise and Sk,Services Private Contractor
ADAPTIS SOLUTIONS LIMITED,844.5, 21/10/2014,Regeneration Enterprise and Sk,Services Private Contractor
ADAPTIS SOLUTIONS LIMITED,946.6, 21/10/2014,Regeneration Enterprise and Sk,Services Private Contractor
ADAPTIS SOLUTIONS LIMITED,1097.2, 21/10/2014,Regeneration Enterprise and Sk,Services Private Contractor
ADAPTIS SOLUTIONS LIMITED,1192, 14/11/2014,Regeneration Enterprise and Sk,Services Private Contractor
ADAPTIS SOLUTIONS LIMITED,1216.1, 14/11/2014,Regeneration Enterprise and Sk,Services Private Contractor
ADAPTIS SOLUTIONS LIMITED,1169.6, 24/12/2014,Regeneration Enterprise and Sk,Services Private Contractor
ADAPTIS SOLUTIONS LIMITED,1159.1, 24/12/2014,Regeneration Enterprise and Sk,Services Private Contractor
ADMISSION APPEALS COMPANY LTD,1099, 10/11/2014,Childrens Services,Supply/Sessional Normal TIme
ADONIKO LTD,621, 02/10/2014,Chief Executives,Services Private Contractor
ADONIKO LTD,631.8, 03/10/2014,Chief Executives,Services Private Contractor
