name,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
CROYDON COUNCIL,832.14, 03/07/2017,Childrens Services,Vehicle Hire External Hired
THEORI HOUSING MANAGEMENT SERVICES LTD,"8,165.40", 03/07/2017,Housing Services,Rents Other
1ST STEPS HOUSING KENT,"7,693.50", 03/07/2017,Housing Services,Rents Other
REDACTED PERSONAL INFORMATION,"6,737.50", 03/07/2017,Childrens Services,Services Other Local Author
REDACTED PERSONAL INFORMATION,"6,737.50", 03/07/2017,Childrens Services,Services Other Local Author
REDACTED PERSONAL INFORMATION,"6,737.50", 03/07/2017,Childrens Services,Services Other Local Author
REDACTED PERSONAL INFORMATION,"6,737.50", 03/07/2017,Childrens Services,Services Other Local Author
REDACTED PERSONAL INFORMATION,"6,737.50", 03/07/2017,Childrens Services,Services Other Local Author
REDACTED PERSONAL INFORMATION,608.00, 03/07/2017,Health and Adult Services,Medical Services
REDACTED PERSONAL INFORMATION,700.00, 03/07/2017,Childrens Services,Materials Staff Training
REDACTED PERSONAL INFORMATION,700.00, 03/07/2017,Childrens Services,Materials Staff Training
GREENWICH SERVICE PLUS LIMITED,"2,009.88", 03/07/2017,Health and Adult Services,Cleaning Services - Contract
REDACTED PERSONAL INFORMATION,520.00, 03/07/2017,Chief Executives,Agency Staff
REDACTED PERSONAL INFORMATION,550.00, 03/07/2017,Childrens Services,Prof Serv Con Adv Non Curric
REDACTED PERSONAL INFORMATION,"1,183.50", 03/07/2017,Childrens Services,Post adoption/SGO support
MAYOR`S OFFICE FOR POLICING AND CRIME,"5,998.40", 03/07/2017,Comm Safety and Environment,Policing Team
REDACTED PERSONAL INFORMATION,600.00, 03/07/2017,Childrens Services,Materials Staff Training
REDACTED PERSONAL INFORMATION,600.00, 03/07/2017,Childrens Services,Materials Staff Training
CASTLE WATER LIMITED,"1,372.87", 03/07/2017,Comm Safety and Environment,Water
ABACUS CARE GREENWICH,"4,268.48", 03/07/2017,Health and Adult Services,Agency Staff
ABACUS CARE GREENWICH,"4,665.00", 03/07/2017,Health and Adult Services,Agency Staff
RUNDLES & CO LTD,"4,375.00", 03/07/2017,Chief Executives,Student Award Payment
RUNDLES & CO LTD,"-3,645.85", 03/07/2017,Chief Executives,Student Award Payment
REDACTED PERSONAL INFORMATION,762.92, 03/07/2017,Childrens Services,LC Staying Put
REDACTED PERSONAL INFORMATION,633.03, 03/07/2017,Corporate,Insurance Claims
ANGELS ABODE LIMITED,840.00, 03/07/2017,Childrens Services,LC Independent Living
ANGELS ABODE LIMITED,"1,050.00", 03/07/2017,Childrens Services,LC Independent Living
REDACTED PERSONAL INFORMATION,"3,000.04", 03/07/2017,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,"3,000.04", 03/07/2017,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,891.00, 03/07/2017,Health and Adult Services,Rents Other
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,810.92", 03/07/2017,Health and Adult Services,Private Sector Nursing Homes
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,810.92", 03/07/2017,Health and Adult Services,Private Sector Nursing Homes
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,810.92", 03/07/2017,Health and Adult Services,Private Sector Nursing Homes
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,810.92", 03/07/2017,Health and Adult Services,Private Sector Nursing Homes
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,810.92", 03/07/2017,Health and Adult Services,Private Sector Nursing Homes
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,810.92", 03/07/2017,Health and Adult Services,Private Sector Nursing Homes
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,810.92", 03/07/2017,Health and Adult Services,Private Sector Nursing Homes
PRECIOUS HOMES LIMITED,"5,288.84", 03/07/2017,Health and Adult Services,Supported Living
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,810.92", 03/07/2017,Health and Adult Services,Private Sector Nursing Homes
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,810.92", 03/07/2017,Health and Adult Services,Private Sector Nursing Homes
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,810.92", 03/07/2017,Health and Adult Services,Private Sector Nursing Homes
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,810.92", 03/07/2017,Health and Adult Services,Private Sector Nursing Homes
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,810.92", 03/07/2017,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,"3,420.00", 03/07/2017,Childrens Services,Services Voluntary Org
BUPA CARE HOMES (GL) LTD - WESTCOMBE PARK,"2,810.92", 03/07/2017,Health and Adult Services,Private Sector Nursing Homes
REDACTED PERSONAL INFORMATION,"2,315.79", 03/07/2017,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"4,285.71", 03/07/2017,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"4,071.43", 03/07/2017,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"4,071.43", 03/07/2017,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"6,377.20", 03/07/2017,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,"2,426.00", 03/07/2017,Health and Adult Services,Services Private Contractor
LONDON CARE LTD,678.64, 03/07/2017,Health and Adult Services,ISF Personal Care
REDACTED PERSONAL INFORMATION,"6,240.00", 03/07/2017,Health and Adult Services,Supported Living
REDACTED PERSONAL INFORMATION,"5,041.09", 03/07/2017,Health and Adult Services,Services Private Contractor
REDACTED PERSONAL INFORMATION,"4,878.47", 03/07/2017,Health and Adult Services,Services Private Contractor
ANGELS HUMAN RESOURCES LTD,734.74, 03/07/2017,Health and Adult Services,Private Home Help Domest Misc
ANGELS HUMAN RESOURCES LTD,"1,050.80", 03/07/2017,Health and Adult Services,Private Home Help Domest Misc
ANGELS HUMAN RESOURCES LTD,"4,113.44", 03/07/2017,Health and Adult Services,Private Home Help Domest Misc
